city,location,price,bedrooms,baths,size,price_lakh,size_marla,price_per_sqft,bedroom_group,price_band
Lahore,"DHA 9 Town, DHA Defence",47000000,4,5,1800.0,470.0,8.0,26111.11111111111,4,2.5 â€“ 5 Cr
Lahore,"DHA 9 Town, DHA Defence",41500000,4,5,1800.0,415.0,8.0,23055.555555555555,4,2.5 â€“ 5 Cr
Lahore,"DHA 9 Town, DHA Defence",41800000,4,5,1800.0,418.0,8.0,23222.222222222223,4,2.5 â€“ 5 Cr
Lahore,"DHA 9 Town, DHA Defence",35000000,3,4,1575.0,350.0,7.0,22222.222222222223,3,2.5 â€“ 5 Cr
Lahore,"DHA Phase 6, DHA Defence",57500000,4,4,1800.0,575.0,8.0,31944.444444444445,4,5 â€“ 10 Cr
Lahore,"DHA Phase 5, DHA Defence",69000000,5,6,2250.0,690.0,10.0,30666.666666666668,5,5 â€“ 10 Cr
Lahore,"DHA Phase 6, DHA Defence",95000000,0,0,4500.0,950.0,20.0,21111.11111111111,0 (Plot),5 â€“ 10 Cr
Lahore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",72500000,5,5,4500.0,725.0,20.0,16111.111111111111,5,5 â€“ 10 Cr
Lahore,"Gulberg, Lahore",40300000,3,3,1755.0,403.0,7.8,22962.962962962964,3,2.5 â€“ 5 Cr
Lahore,"Bedian Road, Lahore",50000000,2,3,18000.0,500.0,80.0,2777.777777777778,2,2.5 â€“ 5 Cr
Lahore,"Bedian Road, Lahore",7800000,3,4,675.0,78.0,3.0,11555.555555555555,3,50L â€“ 2.5 Cr
Lahore,"Bedian Road, Lahore",12000000,1,1,18000.0,120.0,80.0,666.6666666666666,1,50L â€“ 2.5 Cr
Lahore,"Park View City - Tulip Extension Block, Park View City",30000000,5,5,2250.0,300.0,10.0,13333.333333333334,5,2.5 â€“ 5 Cr
Lahore,"DHA Phase 7, DHA Defence",51200000,5,6,4500.0,512.0,20.0,11377.777777777777,5,5 â€“ 10 Cr
Lahore,"Formanities Housing Scheme - Block LL, Formanites Housing Scheme",15000000,3,4,1125.0,150.0,5.0,13333.333333333334,3,50L â€“ 2.5 Cr
Lahore,"Formanities Housing Scheme - Block LL, Formanites Housing Scheme",17000000,3,4,1125.0,170.0,5.0,15111.111111111111,3,50L â€“ 2.5 Cr
Lahore,"State Life Phase 1 - Block B, State Life Housing Phase 1",43000000,5,6,4500.0,430.0,20.0,9555.555555555555,5,2.5 â€“ 5 Cr
Lahore,"PIA Housing Scheme, Lahore",37000000,5,5,2250.0,370.0,10.0,16444.444444444445,5,2.5 â€“ 5 Cr
Lahore,"Johar Town Phase 2, Johar Town",27000000,3,4,1462.0,270.0,6.497777777777777,18467.85225718194,3,2.5 â€“ 5 Cr
Lahore,"DHA Phase 8 - Block C, DHA Phase 8",85000000,6,7,4500.0,850.0,20.0,18888.88888888889,6,5 â€“ 10 Cr
Lahore,"Bahria Town - Janiper Block, Bahria Town - Sector C",91500000,5,5,4500.0,915.0,20.0,20333.333333333332,5,5 â€“ 10 Cr
Lahore,"Bahria Town - Tulip Block, Bahria Town - Sector C",49000000,5,5,2250.0,490.0,10.0,21777.777777777777,5,2.5 â€“ 5 Cr
Lahore,"Bahria Town - Jasmine Block, Bahria Town - Sector C",58000000,5,6,4500.0,580.0,20.0,12888.888888888889,5,5 â€“ 10 Cr
Lahore,"Johar Town, Lahore",35000000,5,6,2700.0,350.0,12.0,12962.962962962964,5,2.5 â€“ 5 Cr
Lahore,"Jora Pull, Lahore",5500000,3,3,450.0,55.0,2.0,12222.222222222223,3,50L â€“ 2.5 Cr
Lahore,"DHA Phase 6, DHA Defence",88800000,5,6,4500.0,888.0,20.0,19733.333333333332,5,5 â€“ 10 Cr
Lahore,"DHA Phase 6, DHA Defence",87700000,5,6,4500.0,877.0,20.0,19488.88888888889,5,5 â€“ 10 Cr
Lahore,"Bahria Town - Umar Block, Bahria Town - Sector B",17500000,3,4,1125.0,175.0,5.0,15555.555555555555,3,50L â€“ 2.5 Cr
Lahore,"DHA Phase 4 - Block GG, DHA Phase 4",46000000,4,5,2250.0,460.0,10.0,20444.444444444445,4,2.5 â€“ 5 Cr
Lahore,"DHA Phase 6, DHA Defence",47000000,4,5,2250.0,470.0,10.0,20888.88888888889,4,2.5 â€“ 5 Cr
Lahore,"DHA Phase 1 - Block J, DHA Phase 1",36000000,4,5,2250.0,360.0,10.0,16000.0,4,2.5 â€“ 5 Cr
Lahore,"DHA Phase 6 - Block K, DHA Phase 6",370000000,6,7,9000.0,3700.0,40.0,41111.11111111111,6,10 â€“ 50 Cr
